,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
121,topolobampo,75.0,MX,1551812536,49.0,25.6,-109.05,27.22,2.6
122,thul,0.0,PK,1551812632,81.0,28.24,68.77,16.16,1.24
123,rio grande,0.0,BR,1551808800,70.0,-32.03,-52.1,31.0,3.6
124,nizhniy tsasuchey,0.0,RU,1551812632,64.0,50.52,115.13,-13.62,1.39
125,kruisfontein,0.0,ZA,1551812633,69.0,-34.0,24.73,20.81,7.04
126,grand river south east,,,nan,,,,,
127,butaritari,92.0,KI,1551812636,100.0,3.07,172.79,25.96,1.39
128,hambantota,75.0,LK,1551809400,100.0,6.12,81.12,25.0,1.5
129,bengkulu,,,nan,,,,,
130,tir pol,,,nan,,,,,
131,petropavlovsk-kamchatskiy,48.0,RU,1551808800,65.0,53.05,158.65,-15.0,3.0
132,necochea,32.0,AR,1551812484,43.0,-38.55,-58.74,29.44,1.79
133,saint-philippe,90.0,CA,1551812637,57.0,45.36,-73.48,-6.11,3.54
134,haines junction,44.0,CA,1551812642,72.0,60.75,-137.51,-20.52,1.14
135,douglas,1.0,US,1551811980,50.0,58.28,-134.39,0.0,1.5
136,belaya gora,0.0,RU,1551812642,0.0,68.54,146.19,-36.24,1.29
137,sitka,0.0,US,1551812447,47.0,37.17,-99.65,-2.78,5.36
138,lompoc,75.0,US,1551812626,71.0,34.64,-120.46,15.56,4.1
139,komsomolskiy,12.0,RU,1551812645,63.0,67.55,63.78,-20.05,5.34
140,balkanabat,0.0,TM,1551812645,89.0,39.51,54.36,4.89,0.79
141,kologriv,92.0,RU,1551812653,94.0,58.83,44.31,0.89,4.54
142,vila velha,40.0,BR,1551812400,74.0,-3.71,-38.6,31.11,5.7
143,chumikan,8.0,RU,1551812653,61.0,54.72,135.31,-12.44,2.49
144,lata,0.0,IN,1551812653,83.0,30.78,78.62,-0.44,1.24
145,padang,44.0,ID,1551812440,100.0,-0.92,100.36,28.33,3.24
146,shanhetun,20.0,CN,1551812654,79.0,44.7,127.2,-1.67,4.59
147,yar-sale,56.0,RU,1551812654,81.0,66.83,70.83,-14.67,3.54
148,nantucket,1.0,US,1551812643,49.0,41.28,-70.1,-1.11,6.2
149,mys shmidta,,,nan,,,,,
150,alice springs,0.0,AU,1551810600,24.0,-23.7,133.88,22.0,2.6
151,cape town,0.0,ZA,1551812574,82.0,-33.93,18.42,21.67,5.7
152,tarko-sale,64.0,RU,1551812373,83.0,64.92,77.78,-18.33,1.79
153,deputatskiy,8.0,RU,1551812656,0.0,69.3,139.9,-38.24,1.19
154,dunedin,36.0,NZ,1551812489,65.0,-45.87,170.5,18.33,1.34
155,hamilton,90.0,CA,1551812401,61.0,43.26,-79.87,-6.67,6.7
156,bredasdorp,0.0,ZA,1551812473,68.0,-34.53,20.04,21.0,4.1
157,cidreira,64.0,BR,1551812657,78.0,-30.17,-50.22,29.91,0.79
158,shahr-e babak,0.0,IR,1551812657,21.0,30.12,55.12,-1.34,1.39
159,kars,40.0,TR,1551810600,86.0,40.61,43.1,-2.0,1.5
160,ponta do sol,48.0,BR,1551812657,79.0,-20.63,-46.0,25.91,2.69
161,wewak,80.0,PG,1551812658,95.0,-3.55,143.63,25.11,1.24
162,faanui,76.0,PF,1551812617,99.0,-16.48,-151.75,28.96,3.29
163,belushya guba,,,nan,,,,,
164,lakselv,75.0,NO,1551812440,72.0,70.05,24.96,-7.0,11.3
165,maragogi,68.0,BR,1551812487,80.0,-9.01,-35.22,28.96,4.89
166,mackay,5.0,CA,1551808800,51.0,53.65,-115.58,-11.0,3.6
167,arlit,0.0,NE,1551812661,36.0,18.74,7.39,23.61,0.89
168,taitung,0.0,TW,1551812661,100.0,22.76,121.15,20.56,5.14
169,okhotsk,0.0,RU,1551812662,100.0,59.36,143.24,-14.99,2.99
170,kotri,0.0,PK,1551812667,49.0,25.36,68.31,18.61,4.14
171,samusu,,,nan,,,,,
172,tsihombe,,,nan,,,,,
173,galle,1.0,US,1551812667,33.0,29.74,-97.91,8.33,6.7
174,saldanha,92.0,PT,1551812670,94.0,41.42,-6.55,10.98,6.84
175,dryden,90.0,CA,1551810600,59.0,49.79,-92.84,-17.0,3.6
176,shizunai,88.0,JP,1551812671,83.0,42.33,142.37,-5.02,1.09
177,flinders,40.0,AU,1551812644,77.0,-34.58,150.85,22.22,2.6
178,pacific grove,90.0,US,1551812668,87.0,36.62,-121.92,12.22,2.54
179,chitose,75.0,JP,1551812410,74.0,42.79,141.51,1.0,3.1
180,godec,,,nan,,,,,
181,port hardy,20.0,CA,1551808800,59.0,50.7,-127.42,1.0,2.1
182,kaitangata,64.0,NZ,1551812575,87.0,-46.28,169.85,16.67,0.45
183,irtyshskiy,8.0,RU,1551812679,74.0,58.33,68.13,-12.27,2.29
184,fort morgan,0.0,US,1551810900,49.0,40.25,-103.8,-5.0,1.5
185,salalah,0.0,OM,1551808200,53.0,17.01,54.1,25.0,2.1
186,asmara,0.0,ER,1551812568,83.0,15.34,38.93,14.26,0.64
187,fort madison,75.0,US,1551812636,53.0,40.63,-91.32,-5.57,5.7
188,nguiu,,,nan,,,,,
189,lasa,0.0,CY,1551810600,76.0,34.92,32.53,13.0,2.6
190,laguna,75.0,MX,1551807600,38.0,27.52,-110.01,24.0,2.1
191,quatre cocos,40.0,MU,1551812645,78.0,-20.21,57.76,27.0,3.6
192,los llanos de aridane,20.0,ES,1551812407,63.0,28.66,-17.92,19.0,1.5
193,nabire,24.0,ID,1551812685,94.0,-3.36,135.5,19.08,0.84
